Year,Quarter,Period,Tasking Location Type,Caernarfon,Humberside,Inverness,Lee On Solent,Lydd,Newquay,Portland,Portland-obsStatus,Prestwick,St Athan,Stornoway,Sumburgh,Total,Revisions
2019,Oct to Dec,2019-2020/q3,total,48,36,50,60,41,63,,x,72,46,19,72,507,
2020,Jan to Mar,2020-2021/q4,beach/cliff,6,10,3,12,27,10,,x,9,17,0,0,94,
2020,Jan to Mar,2020-2021/q4,mountain,21,1,29,0,0,0,,x,20,5,3,0,79,
2020,Jan to Mar,2020-2021/q4,other,13,13,22,44,11,23,,x,44,24,19,30,243,
2020,Jan to Mar,2020-2021/q4,vessel,1,2,9,5,9,5,,x,1,1,5,3,41,
2020,Jan to Mar,2020-2021/q4,total,41,26,63,61,47,38,,x,74,47,27,33,457,
2020,Apr to Jun,2020-2021/q1,beach/cliff,13,14,6,25,40,30,,x,17,25,1,1,172,
2020,Apr to Jun,2020-2021/q1,mountain,1,1,4,0,0,0,,x,3,1,0,0,10,
2020,Apr to Jun,2020-2021/q1,other,11,17,8,34,17,32,,x,36,14,14,10,193,
2020,Apr to Jun,2020-2021/q1,vessel,2,8,4,13,17,7,,x,1,3,3,6,64,
2020,Apr to Jun,2020-2021/q1,total,27,40,22,72,74,69,,x,57,43,18,17,439,
2020,Jul to Sep,2020-2021/q2,beach/cliff,23,23,12,36,45,38,,x,27,50,8,3,265,
2020,Jul to Sep,2020-2021/q2,mountain,62,6,39,1,0,0,,x,44,7,18,0,177,
2020,Jul to Sep,2020-2021/q2,other,29,25,37,41,21,41,,x,69,36,27,32,358,
2020,Jul to Sep,2020-2021/q2,vessel,6,14,11,15,8,8,,x,3,6,7,5,83,
2020,Jul to Sep,2020-2021/q2,total,120,68,99,93,74,87,,x,143,99,60,40,883,
2020,Oct to Dec,2020-2021/q3,beach/cliff,8,13,4,11,15,17,,x,11,16,2,0,97,r
2020,Oct to Dec,2020-2021/q3,mountain,14,4,20,0,0,0,,x,18,4,3,0,63,
2020,Oct to Dec,2020-2021/q3,other,14,11,17,28,15,31,,x,36,19,21,26,218,
2020,Oct to Dec,2020-2021/q3,vessel,2,10,7,11,8,5,,x,5,3,2,4,57,
2020,Oct to Dec,2020-2021/q3,total,38,38,48,50,38,53,,x,70,42,28,30,435,r
2021,Jan to Mar,2021-2022/q4,beach/cliff,9,7,3,9,12,12,,x,9,21,3,0,85,
2021,Jan to Mar,2021-2022/q4,mountain,5,1,11,0,0,1,,x,12,4,2,0,36,r
2021,Jan to Mar,2021-2022/q4,other,15,19,20,27,19,28,,x,56,20,25,29,258,
2021,Jan to Mar,2021-2022/q4,vessel,4,5,4,1,3,5,,x,3,2,3,12,42,
2021,Jan to Mar,2021-2022/q4,total,33,32,38,37,34,46,,x,80,47,33,41,421,r
2021,Apr to Jun,2021-2022/q1,beach/cliff,16,11,9,24,30,22,,x,18,31,5,1,167,
2021,Apr to Jun,2021-2022/q1,mountain,39,2,35,0,0,1,,x,30,10,8,0,125,
2021,Apr to Jun,2021-2022/q1,other,18,15,37,30,16,32,,x,46,29,18,32,273,
2021,Apr to Jun,2021-2022/q1,vessel,6,12,5,13,8,14,,x,10,8,8,16,100,
2021,Apr to Jun,2021-2022/q1,total,79,40,86,67,54,69,,x,104,78,39,49,665,
2021,Jul to Sep,2021-2022/q2,beach/cliff,30,20,21,34,50,36,,x,30,37,12,1,271,
2021,Jul to Sep,2021-2022/q2,mountain,77,3,74,0,0,1,,x,44,13,15,0,227,
2021,Jul to Sep,2021-2022/q2,other,28,27,38,31,32,44,,x,80,20,26,45,371,
2021,Jul to Sep,2021-2022/q2,vessel,6,11,2,24,16,23,,x,10,9,2,6,109,
2021,Jul to Sep,2021-2022/q2,total,141,61,135,89,98,104,,x,164,79,55,52,978,
2021,Oct to Dec,2021-2022/q3,beach/cliff,9,7,10,14,17,16,,x,15,11,2,1,102,
2021,Oct to Dec,2021-2022/q3,mountain,28,6,20,0,0,0,,x,13,2,1,0,70,
2021,Oct to Dec,2021-2022/q3,other,15,28,26,40,31,42,,x,74,24,27,32,339,
2021,Oct to Dec,2021-2022/q3,vessel,5,10,5,6,12,6,,x,1,2,1,2,50,
2021,Oct to Dec,2021-2022/q3,total,57,51,61,60,60,64,,x,103,39,31,35,561,
2022,Jan to Mar,2022-2023/q4,beach/cliff,13,7,7,16,16,15,,x,7,22,3,0,106,
2022,Jan to Mar,2022-2023/q4,mountain,29,3,36,0,0,0,,x,27,12,4,0,111,
2022,Jan to Mar,2022-2023/q4,other,17,23,38,25,21,36,,x,55,20,24,30,289,
2022,Jan to Mar,2022-2023/q4,vessel,1,11,3,3,3,6,,x,3,0,3,4,37,
2022,Jan to Mar,2022-2023/q4,total,60,44,84,44,40,57,,x,92,54,34,34,543,
